Date,DaysToNextTradingDay,DayBeforeHoliday,Volume,Return,OvernightReturn,IntradayTradingRange,BBBBondMargin,CorporateBondMargin,Dispersion
1996-12-31,2,Yes,545137714.5578332,-0.005631153342555176,-3.212702052959459e-4,0.02489029701759817,0.54,0.3700000000000001,0.01927010819138059
1997-01-02,1,No,820986743.8386904,-0.009538133842202607,-0.003218671749684988,0.02998244071186074,0.5600000000000005,0.2999999999999998,0.019426331392369336
1997-01-03,3,No,788836012.4693093,0.013728178281018804,0.0065925535404838115,0.02393462484356276,0.54,0.29000000000000004,0.02080063164898948
1997-01-06,1,No,863607468.7460237,0.0019943037710912965,0.0027444963136736464,0.026145234741867116,0.5700000000000003,0.3100000000000005,0.01998044504923846
1997-01-07,1,No,821247301.4096665,0.0067781125785120735,-0.0016763569880347763,0.025990360522739942,0.5699999999999994,0.3099999999999996,0.01943988020131596
1997-01-08,1,No,867699818.1410235,-0.00198437961918545,0.0022931866887048644,0.024874737439319436,0.5700000000000003,0.3100000000000005,0.01888535210731525
1997-01-09,1,No,863178612.3734998,0.008280811519305249,0.002348306274088075,0.024169578060019545,0.54,0.28000000000000025,0.017905519587609227
1997-01-10,3,No,1033829947.5751426,0.003572759417301217,-0.008565229657665447,0.0297387975617527,0.54,0.2999999999999998,0.03226031883986288
1997-01-13,1,No,815561811.0894998,-0.001754782323006915,0.001416028338046145,0.022627777382695374,0.54,0.29000000000000004,0.01983602896266245
1997-01-14,1,No,991183927.9038571,0.008766637183791214,0.003194919794597187,0.023928896146307447,0.5199999999999996,0.28000000000000025,0.02046171521941992
1997-01-15,1,No,1062472434.8909758,-0.0034202134277177914,-0.002511889299151223,0.02375745673493826,0.5199999999999996,0.2699999999999996,0.01996663687813352
1997-01-16,1,No,980988783.2543088,0.004860298460785289,0.0030341549436952837,0.023678834259603317,0.5499999999999998,0.2999999999999998,0.01903477264037204
1997-01-17,3,No,983985905.7988571,0.005491784073726575,7.130249277545574e-4,0.021536038397523143,0.5499999999999998,0.2999999999999998,0.016034547571484745
1997-01-20,1,No,850493147.5548098,0.0024785300241517813,4.81394733495282e-4,0.022760005761206344,0.5499999999999998,0.2999999999999998,0.02074893418634556
1997-01-21,1,No,971971962.097524,0.003162686018284654,-0.0036627512300899507,0.02611734438732315,0.5199999999999996,0.2699999999999996,0.018583818330383327
1997-01-22,1,No,1081179277.838357,0.0013490059657300223,-5.168924867020012e-4,0.02428730145152464,0.54,0.29000000000000004,0.02047667712821654
1997-01-23,1,No,1268859662.8018098,-0.004507000039313375,0.0036484581189491342,0.032221722578734076,0.54,0.29000000000000004,0.022962495366452472
1997-01-24,3,No,1201164755.9576669,-0.008655526570866235,-0.0019232276520772492,0.02629453678349766,0.5300000000000002,0.28000000000000025,0.019950925308244126
1997-01-27,1,No,876209700.1130241,-0.00615695939190725,-8.416631462318018e-4,0.024086169068984496,0.5200000000000005,0.27000000000000046,0.017193868776013886
1997-01-28,1,No,1005076968.7721668,7.950605320773845e-5,0.00789521231285598,0.027424963064827224,0.5199999999999996,0.28000000000000025,0.017087777328654852
1997-01-29,1,No,1000657911.497667,0.003982130779300535,0.0018348942673445169,0.023584713830943627,0.5299999999999994,0.27999999999999936,0.017209869478104576
1997-01-30,1,No,1057955590.8823093,0.011461412818894333,0.0055341046083596575,0.023561571722724692,0.54,0.2999999999999998,0.021844551518841092
1997-01-31,3,No,1053467947.3400236,0.002970221905201599,0.00315361267873744,0.02515364758340656,0.5200000000000005,0.28000000000000025,0.018607327506291908
1997-02-03,1,No,824643218.7408571,1.505151447540141e-4,5.021401364501435e-4,0.023004987801380695,0.5099999999999998,0.2599999999999998,0.019830003429349798
1997-02-04,1,No,873369055.3483329,0.0010080652075922256,-5.210695634124919e-4,0.021805713166989257,0.5099999999999998,0.2699999999999996,0.016671152792697173
1997-02-05,1,No,1362642600.929357,-0.009437145596506233,0.0017189200618283231,0.029765061337817252,0.5100000000000007,0.2600000000000007,0.019921596187797517
1997-02-06,1,No,1086785274.0978093,0.00284715992804516,8.648730100669253e-4,0.023230263256453908,0.5100000000000007,0.27000000000000046,0.01668008923644178
1997-02-07,3,No,1058296023.8239758,0.00632889052472136,0.005529576999406397,0.025325748943432643,0.5100000000000007,0.2600000000000007,0.02029393514621615
1997-02-10,1,No,1099728394.1066902,-0.0047254762614957905,8.67200766284444e-4,0.02672744158856395,0.5100000000000007,0.2600000000000007,0.024779323568794063
1997-02-11,1,No,1088458334.1134758,0.0028211467145756236,0.002929819772169714,0.024135749845229218,0.5100000000000007,0.2600000000000007,0.01712362362901656
1997-02-12,1,No,1040635859.9699757,0.014541720829982207,0.002638045511834789,0.026644389710595795,0.5,0.2599999999999998,0.023830383988081096
1997-02-13,1,No,1046572313.2583097,0.010165955322483983,0.003117062447888473,0.026409707454438054,0.5,0.2599999999999998,0.02009878419147001
1997-02-14,4,Yes,811234474.1023093,-5.084589959256382e-4,0.0014504394447622767,0.022323771090255608,0.5299999999999994,0.29000000000000004,0.019781586864903944
1997-02-18,1,No,757874441.3041666,0.0030920011317226103,8.413582449689468e-4,0.02535608172786688,0.5200000000000005,0.28000000000000025,0.022024571431227526
1997-02-19,1,No,822627947.3275237,-0.002471508289646978,-0.002025989874498478,0.023810912121606822,0.5199999999999996,0.28000000000000025,0.019429188265043848
1997-02-20,1,No,894242149.9356904,-0.008448155689026559,-0.002606338174890738,0.023453311626254206,0.5099999999999998,0.2699999999999996,0.01782446027446582
