created_date,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2017-01-15,10,50,10,2
2017-01-22,8,49,9,1
2017-01-29,7,48,8,0
2017-02-05,6,47,7,3
2017-02-12,4,46,6,2
2017-02-19,9,45,5,1
2017-02-26,8,44,4,0
2017-03-05,8,43,3,3
2017-03-12,6,42,2,2
2017-03-19,7,41,1,1
2017-03-26,9,40,0,0
2017-04-02,13,39,12,4
2017-04-09,6,38,11,3
2017-04-16,6,37,10,2
2017-04-23,9,36,9,1
2017-04-30,9,35,8,0
2017-05-07,11,34,7,3
2017-05-14,6,33,6,2
2017-05-21,13,32,5,1
2017-05-28,10,31,4,0
2017-06-04,8,30,3,3
2017-06-11,4,29,2,2
2017-06-18,9,28,1,1
2017-06-25,4,27,0,0
2017-07-02,12,26,12,4
2017-07-09,5,25,11,3
2017-07-16,5,24,10,2
2017-07-23,3,23,9,1
2017-07-30,6,22,8,0
2017-08-06,6,21,7,3
2017-08-13,9,20,6,2
2017-08-20,13,19,5,1
2017-08-27,9,18,4,0
2017-09-03,3,17,3,3
2017-09-10,12,16,2,2
2017-09-17,5,15,1,1
2017-09-24,12,14,0,0
2017-10-01,12,13,13,4
2017-10-08,8,12,12,3
2017-10-15,7,11,11,2
2017-10-22,7,10,10,1
2017-10-29,11,9,9,0
2017-11-05,13,8,8,3
2017-11-12,8,7,7,2
2017-11-19,8,6,6,1
2017-11-26,6,5,5,0
2017-12-03,10,4,4,4
2017-12-10,13,3,3,3
2017-12-17,13,2,2,2
2017-12-24,7,1,1,1
2017-12-31,0,0,0,0
2018-01-07,5,51,11,3
2018-01-14,9,50,10,2
2018-01-21,7,49,9,1
2018-01-28,11,48,8,0
2018-02-04,8,47,7,3
2018-02-11,4,46,6,2
2018-02-18,5,45,5,1
2018-02-25,11,44,4,0
2018-03-04,10,43,3,3
2018-03-11,13,42,2,2
2018-03-18,9,41,1,1
2018-03-25,4,40,0,0
2018-04-01,12,39,12,4
2018-04-08,7,38,11,3
2018-04-15,5,37,10,2
2018-04-22,7,36,9,1
2018-04-29,10,35,8,0
2018-05-06,5,34,7,3
2018-05-13,6,33,6,2
2018-05-20,13,32,5,1
2018-05-27,11,31,4,0
2018-06-03,10,30,3,3
2018-06-10,6,29,2,2
2018-06-17,9,28,1,1
2018-06-24,8,27,0,0
2018-07-01,8,26,13,4
2018-07-08,4,25,12,3
2018-07-15,8,24,11,2
2018-07-22,5,23,10,1
2018-07-29,5,22,9,0
2018-08-05,3,21,8,3
2018-08-12,5,20,7,2
2018-08-19,8,19,6,1
2018-08-26,8,18,5,0
2018-09-02,8,17,4,4
2018-09-09,4,16,3,3
2018-09-16,9,15,2,2
2018-09-23,10,14,1,1
2018-09-30,8,13,0,0
2018-10-07,12,12,12,3
2018-10-14,15,11,11,2
2018-10-21,14,10,10,1
2018-10-28,8,9,9,0
2018-11-04,19,8,8,3
2018-11-11,12,7,7,2
2018-11-18,8,6,6,1
2018-11-25,5,5,5,0
2018-12-02,8,4,4,4
2018-12-09,5,3,3,3
2018-12-16,10,2,2,2
2018-12-23,8,1,1,1
2018-12-30,0,0,0,0
2019-01-06,12,51,12,3
2019-01-13,14,50,11,2
2019-01-20,11,49,10,1
2019-01-27,10,48,9,0
2019-02-03,10,47,8,3
2019-02-10,10,46,7,2
2019-02-17,10,45,6,1
2019-02-24,6,44,5,0
2019-03-03,12,43,4,4
2019-03-10,6,42,3,3
2019-03-17,11,41,2,2
2019-03-24,20,40,1,1
2019-03-31,6,39,0,0
2019-04-07,6,38,12,3
2019-04-14,12,37,11,2
2019-04-21,16,36,10,1
2019-04-28,13,35,9,0
2019-05-05,15,34,8,3
2019-05-12,6,33,7,2
2019-05-19,17,32,6,1
2019-05-26,13,31,5,0
2019-06-02,15,30,4,4
2019-06-09,8,29,3,3
2019-06-16,10,28,2,2
2019-06-23,11,27,1,1
2019-06-30,11,26,0,0
2019-07-07,3,25,12,3
2019-07-14,7,24,11,2
2019-07-21,7,23,10,1
2019-07-28,10,22,9,0
2019-08-04,12,21,8,3
2019-08-11,10,20,7,2
2019-08-18,10,19,6,1
2019-08-25,7,18,5,0
2019-09-01,13,17,4,4
2019-09-08,3,16,3,3
2019-09-15,15,15,2,2
2019-09-22,15,14,1,1
2019-09-29,11,13,0,0
2019-10-06,10,12,12,3
2019-10-13,9,11,11,2
2019-10-20,15,10,10,1
2019-10-27,8,9,9,0
2019-11-03,16,8,8,3
2019-11-10,11,7,7,2
2019-11-17,15,6,6,1
2019-11-24,14,5,5,0
2019-12-01,5,4,4,4
2019-12-08,17,3,3,3
2019-12-15,6,2,2,2
2019-12-22,10,1,1,1
2019-12-29,3,0,0,0
2020-01-05,4,51,12,3
2020-01-12,12,50,11,2
2020-01-19,13,49,10,1
2020-01-26,8,48,9,0
2020-02-02,12,47,8,3
2020-02-09,13,46,7,2
2020-02-16,26,45,6,1
2020-02-23,16,44,5,0
2020-03-01,13,43,4,4
2020-03-08,10,42,3,3
2020-03-15,22,41,2,2
2020-03-22,14,40,1,1
2020-03-29,18,39,0,0
2020-04-05,16,38,12,3
2020-04-12,12,37,11,2
2020-04-19,13,36,10,1
2020-04-26,17,35,9,0
2020-05-03,19,34,8,4
2020-05-10,13,33,7,3
2020-05-17,21,32,6,2
2020-05-24,13,31,5,1
2020-05-31,9,30,4,0
2020-06-07,18,29,3,3
2020-06-14,22,28,2,2
2020-06-21,22,27,1,1
2020-06-28,23,26,0,0
2020-07-05,17,25,12,3
2020-07-12,23,24,11,2
2020-07-19,24,23,10,1
2020-07-26,24,22,9,0
2020-08-02,25,21,8,4
2020-08-09,31,20,7,3
2020-08-16,31,19,6,2
2020-08-23,10,18,5,1
2020-08-30,,17,4,0
2020-09-06,,16,3,3
2020-09-13,,15,2,2
2020-09-20,,14,1,1
2020-09-27,,13,0,0
2020-10-04,,12,12,3
2020-10-11,,11,11,2
2020-10-18,,10,10,1
2020-10-25,,9,9,0
2020-11-01,,8,8,4
2020-11-08,,7,7,3
2020-11-15,,6,6,2
