created_date,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2014-07-06,0,25,12,3
2014-07-13,0,24,11,2
2014-07-20,0,23,10,1
2014-07-27,0,22,9,0
2014-08-03,0,21,8,4
2014-08-10,0,20,7,3
2014-08-17,0,19,6,2
2014-08-24,0,18,5,1
2014-08-31,0,17,4,0
2014-09-07,0,16,3,3
2014-09-14,0,15,2,2
2014-09-21,0,14,1,1
2014-09-28,0,13,0,0
2014-10-05,0,12,12,3
2014-10-12,0,11,11,2
2014-10-19,0,10,10,1
2014-10-26,0,9,9,0
2014-11-02,0,8,8,4
2014-11-09,0,7,7,3
2014-11-16,0,6,6,2
2014-11-23,0,5,5,1
2014-11-30,0,4,4,0
2014-12-07,2,3,3,3
2014-12-14,0,2,2,2
2014-12-21,4,1,1,1
2014-12-28,2,0,0,0
2015-01-04,0,51,12,3
2015-01-11,1,50,11,2
2015-01-18,1,49,10,1
2015-01-25,1,48,9,0
2015-02-01,4,47,8,3
2015-02-08,2,46,7,2
2015-02-15,45,45,6,1
2015-02-22,7,44,5,0
2015-03-01,3,43,4,4
2015-03-08,8,42,3,3
2015-03-15,4,41,2,2
2015-03-22,13,40,1,1
2015-03-29,11,39,0,0
2015-04-05,7,38,12,3
2015-04-12,5,37,11,2
2015-04-19,4,36,10,1
2015-04-26,4,35,9,0
2015-05-03,2,34,8,4
2015-05-10,3,33,7,3
2015-05-17,9,32,6,2
2015-05-24,7,31,5,1
2015-05-31,3,30,4,0
2015-06-07,6,29,3,3
2015-06-14,5,28,2,2
2015-06-21,4,27,1,1
2015-06-28,7,26,0,0
2015-07-05,1,25,12,3
2015-07-12,8,24,11,2
2015-07-19,4,23,10,1
2015-07-26,10,22,9,0
2015-08-02,2,21,8,4
2015-08-09,6,20,7,3
2015-08-16,7,19,6,2
2015-08-23,11,18,5,1
2015-08-30,6,17,4,0
2015-09-06,7,16,3,3
2015-09-13,2,15,2,2
2015-09-20,2,14,1,1
2015-09-27,4,13,0,0
2015-10-04,8,12,12,3
2015-10-11,7,11,11,2
2015-10-18,5,10,10,1
2015-10-25,8,9,9,0
2015-11-01,8,8,8,4
2015-11-08,3,7,7,3
2015-11-15,3,6,6,2
2015-11-22,6,5,5,1
2015-11-29,2,4,4,0
2015-12-06,5,3,3,3
2015-12-13,11,2,2,2
2015-12-20,12,1,1,1
2015-12-27,1,0,0,0
2016-01-03,3,51,12,4
2016-01-10,4,50,11,3
2016-01-17,10,49,10,2
2016-01-24,3,48,9,1
2016-01-31,6,47,8,0
2016-02-07,9,46,7,3
2016-02-14,6,45,6,2
2016-02-21,7,44,5,1
2016-02-28,12,43,4,0
2016-03-06,14,42,3,3
2016-03-13,10,41,2,2
2016-03-20,3,40,1,1
2016-03-27,5,39,0,0
2016-04-03,6,38,12,3
2016-04-10,7,37,11,2
2016-04-17,5,36,10,1
2016-04-24,5,35,9,0
2016-05-01,8,34,8,4
2016-05-08,4,33,7,3
2016-05-15,6,32,6,2
2016-05-22,5,31,5,1
2016-05-29,7,30,4,0
2016-06-05,4,29,3,3
2016-06-12,8,28,2,2
2016-06-19,5,27,1,1
2016-06-26,3,26,0,0
2016-07-03,5,25,12,4
2016-07-10,3,24,11,3
2016-07-17,3,23,10,2
2016-07-24,5,22,9,1
2016-07-31,8,21,8,0
2016-08-07,12,20,7,3
2016-08-14,9,19,6,2
2016-08-21,4,18,5,1
2016-08-28,11,17,4,0
2016-09-04,9,16,3,3
2016-09-11,8,15,2,2
2016-09-18,2,14,1,1
2016-09-25,16,13,0,0
2016-10-02,10,12,12,4
2016-10-09,9,11,11,3
2016-10-16,17,10,10,2
2016-10-23,13,9,9,1
2016-10-30,9,8,8,0
2016-11-06,7,7,7,3
2016-11-13,9,6,6,2
2016-11-20,14,5,5,1
2016-11-27,4,4,4,0
2016-12-04,13,3,3,3
2016-12-11,9,2,2,2
2016-12-18,12,1,1,1
2016-12-25,7,0,0,0
2017-01-01,1,52,12,4
2017-01-08,10,51,11,3
2017-01-15,12,50,10,2
2017-01-22,7,49,9,1
2017-01-29,13,48,8,0
2017-02-05,7,47,7,3
2017-02-12,11,46,6,2
2017-02-19,10,45,5,1
2017-02-26,9,44,4,0
2017-03-05,10,43,3,3
2017-03-12,10,42,2,2
2017-03-19,8,41,1,1
2017-03-26,21,40,0,0
2017-04-02,11,39,12,4
2017-04-09,14,38,11,3
2017-04-16,10,37,10,2
2017-04-23,11,36,9,1
2017-04-30,11,35,8,0
2017-05-07,10,34,7,3
2017-05-14,10,33,6,2
2017-05-21,14,32,5,1
2017-05-28,8,31,4,0
2017-06-04,9,30,3,3
2017-06-11,17,29,2,2
2017-06-18,10,28,1,1
2017-06-25,16,27,0,0
2017-07-02,13,26,12,4
2017-07-09,10,25,11,3
2017-07-16,12,24,10,2
2017-07-23,18,23,9,1
2017-07-30,18,22,8,0
2017-08-06,14,21,7,3
2017-08-13,7,20,6,2
2017-08-20,13,19,5,1
2017-08-27,5,18,4,0
2017-09-03,12,17,3,3
2017-09-10,17,16,2,2
2017-09-17,10,15,1,1
2017-09-24,11,14,0,0
2017-10-01,16,13,13,4
2017-10-08,10,12,12,3
2017-10-15,11,11,11,2
2017-10-22,6,10,10,1
2017-10-29,21,9,9,0
2017-11-05,17,8,8,3
2017-11-12,12,7,7,2
2017-11-19,14,6,6,1
2017-11-26,8,5,5,0
2017-12-03,28,4,4,4
2017-12-10,11,3,3,3
2017-12-17,23,2,2,2
2017-12-24,15,1,1,1
2017-12-31,1,0,0,0
2018-01-07,12,51,11,3
2018-01-14,15,50,10,2
2018-01-21,15,49,9,1
2018-01-28,17,48,8,0
2018-02-04,16,47,7,3
2018-02-11,16,46,6,2
2018-02-18,28,45,5,1
2018-02-25,10,44,4,0
2018-03-04,18,43,3,3
2018-03-11,17,42,2,2
2018-03-18,16,41,1,1
2018-03-25,14,40,0,0
2018-04-01,19,39,12,4
2018-04-08,17,38,11,3
2018-04-15,16,37,10,2
2018-04-22,25,36,9,1
2018-04-29,18,35,8,0
2018-05-06,19,34,7,3
2018-05-13,16,33,6,2
2018-05-20,23,32,5,1
2018-05-27,25,31,4,0
2018-06-03,17,30,3,3
2018-06-10,21,29,2,2
2018-06-17,25,28,1,1
2018-06-24,32,27,0,0
2018-07-01,34,26,13,4
2018-07-08,23,25,12,3
2018-07-15,21,24,11,2
2018-07-22,28,23,10,1
2018-07-29,25,22,9,0
2018-08-05,33,21,8,3
2018-08-12,24,20,7,2
2018-08-19,25,19,6,1
2018-08-26,31,18,5,0
2018-09-02,32,17,4,4
2018-09-09,19,16,3,3
2018-09-16,27,15,2,2
2018-09-23,38,14,1,1
2018-09-30,34,13,0,0
2018-10-07,36,12,12,3
2018-10-14,26,11,11,2
2018-10-21,28,10,10,1
2018-10-28,47,9,9,0
2018-11-04,36,8,8,3
2018-11-11,33,7,7,2
2018-11-18,34,6,6,1
2018-11-25,17,5,5,0
2018-12-02,38,4,4,4
2018-12-09,30,3,3,3
2018-12-16,22,2,2,2
2018-12-23,25,1,1,1
2018-12-30,3,0,0,0
2019-01-06,27,51,12,3
2019-01-13,41,50,11,2
2019-01-20,47,49,10,1
2019-01-27,33,48,9,0
2019-02-03,50,47,8,3
2019-02-10,52,46,7,2
2019-02-17,31,45,6,1
2019-02-24,45,44,5,0
2019-03-03,36,43,4,4
2019-03-10,61,42,3,3
2019-03-17,29,41,2,2
2019-03-24,44,40,1,1
2019-03-31,45,39,0,0
2019-04-07,65,38,12,3
2019-04-14,67,37,11,2
2019-04-21,50,36,10,1
2019-04-28,72,35,9,0
2019-05-05,43,34,8,3
2019-05-12,54,33,7,2
2019-05-19,51,32,6,1
2019-05-26,71,31,5,0
2019-06-02,54,30,4,4
2019-06-09,71,29,3,3
2019-06-16,56,28,2,2
2019-06-23,72,27,1,1
2019-06-30,124,26,0,0
2019-07-07,33,25,12,3
2019-07-14,47,24,11,2
2019-07-21,59,23,10,1
2019-07-28,61,22,9,0
2019-08-04,71,21,8,3
2019-08-11,61,20,7,2
2019-08-18,71,19,6,1
2019-08-25,91,18,5,0
2019-09-01,87,17,4,4
2019-09-08,78,16,3,3
2019-09-15,97,15,2,2
2019-09-22,74,14,1,1
2019-09-29,105,13,0,0
2019-10-06,85,12,12,3
2019-10-13,91,11,11,2
2019-10-20,74,10,10,1
2019-10-27,93,9,9,0
2019-11-03,86,8,8,3
2019-11-10,76,7,7,2
2019-11-17,61,6,6,1
2019-11-24,86,5,5,0
2019-12-01,45,4,4,4
2019-12-08,71,3,3,3
2019-12-15,64,2,2,2
2019-12-22,71,1,1,1
2019-12-29,17,0,0,0
2020-01-05,27,51,12,3
2020-01-12,81,50,11,2
2020-01-19,97,49,10,1
2020-01-26,95,48,9,0
2020-02-02,80,47,8,3
2020-02-09,94,46,7,2
2020-02-16,83,45,6,1
2020-02-23,60,44,5,0
2020-03-01,89,43,4,4
2020-03-08,89,42,3,3
2020-03-15,102,41,2,2
2020-03-22,114,40,1,1
2020-03-29,73,39,0,0
2020-04-05,99,38,12,3
2020-04-12,85,37,11,2
2020-04-19,69,36,10,1
2020-04-26,94,35,9,0
2020-05-03,116,34,8,4
2020-05-10,81,33,7,3
2020-05-17,88,32,6,2
2020-05-24,60,31,5,1
2020-05-31,125,30,4,0
2020-06-07,79,29,3,3
2020-06-14,127,28,2,2
2020-06-21,251,27,1,1
2020-06-28,117,26,0,0
2020-07-05,122,25,12,3
2020-07-12,130,24,11,2
2020-07-19,150,23,10,1
2020-07-26,124,22,9,0
2020-08-02,125,21,8,4
2020-08-09,73,20,7,3
2020-08-16,95,19,6,2
2020-08-23,63,18,5,1
