created_date,created_num,converted_num,converted_run_total,created_run_total,converted_rate,log_of_converted_rate,converted_run_total_log,created_run_total_log,converted_rate_log
2018-01-07,15,9,9,15,60.0,4.0943445622221,2.1972245773362196,2.70805020110221,81.13677421644259
2018-01-14,13,4,13,28,46.42857142857143,3.8379150332744243,2.5649493574615367,3.332204510175204,76.97454791952953
2018-01-21,23,12,25,51,49.01960784313726,3.892220378131966,3.2188758248682006,3.9318256327243257,81.86720687910748
2018-01-28,59,19,44,110,40.0,3.6888794541139363,3.784189633918261,4.700480365792417,80.5064448616267
2018-02-04,169,11,55,279,19.71326164874552,2.9812915893991967,4.007333185232471,5.631211781821365,71.16289247314252
2018-02-11,76,13,68,355,19.154929577464788,2.9525601016887824,4.219507705176107,5.872117789475416,71.85665983640044
2018-02-18,342,34,102,697,14.634146341463415,2.683357588511839,4.624972813284271,6.546785410760524,70.64494287047357
2018-02-25,60,7,109,757,14.39894319682959,2.6671548147797863,4.6913478822291435,6.6293632534374485,70.76619130497325
2018-03-04,119,15,124,876,14.155251141552512,2.6500856606567367,4.820281565605037,6.775366090936392,71.14422307088721
2018-03-11,25,21,145,901,16.09322974472808,2.778398670800328,4.976733742420574,6.803505257608338,73.14955385468556
2018-03-18,37,13,158,938,16.844349680170577,2.8240152700088337,5.062595033026967,6.843749949006225,73.97399190135668
2018-03-25,132,16,174,1070,16.261682242990656,2.788811557746669,5.159055299214529,6.975413927455952,73.96056137841444
2018-04-01,207,15,189,1277,14.800313234142521,2.6946483450151946,5.241747015059643,7.152268856032539,73.28789116531213
2018-04-08,103,15,204,1380,14.782608695652174,2.6934514016810573,5.318119993844216,7.22983877815125,73.55793340669926
2018-04-15,162,14,218,1542,14.137483787289234,2.6488296946539056,5.384495062789089,7.340835554123275,73.34989352492266
2018-04-22,179,16,234,1721,13.596746077861708,2.609830505134253,5.455321115357702,7.450660796211539,73.21929241674222
2018-04-29,282,18,252,2003,12.581128307538693,2.5321979378336965,5.529429087511423,7.602401335665818,72.73266489590235
2018-05-06,193,18,270,2196,12.295081967213115,2.5091993423570447,5.598421958998375,7.694392802629421,72.75976288973985
2018-05-13,118,14,284,2314,12.273120138288677,2.5074115163956754,5.648974238161206,7.746732907753622,72.92073065417304
2018-05-20,30,20,304,2344,12.969283276450511,2.56258373669741,5.717027701406222,7.759614150696903,73.67670080467553
2018-05-27,98,27,331,2442,13.554463554463554,2.6067159066945043,5.802118375377063,7.80057265467065,74.38067219209864
2018-06-03,108,17,348,2550,13.647058823529411,2.6135240276100937,5.8522024797744745,7.843848638152472,74.60881449585051
2018-06-10,267,30,378,2817,13.418530351437699,2.5966366137313064,5.934894195619588,7.943427767876373,74.71452336509691
2018-06-17,132,25,403,2949,13.665649372668701,2.614885339119498,5.998936561946683,7.989221408815276,75.08787471239035
2018-06-24,65,30,433,3014,14.366290643662907,2.6648845348041403,6.07073772800249,8.01102337918644,75.77980291225919
2018-07-01,311,26,459,3325,13.80451127819549,2.624995442958682,6.129050210060545,8.109224953089955,75.58120838323914
2018-07-08,26,24,483,3351,14.4136078782453,2.6681727519033536,6.180016653652572,8.11701408773731,76.13657666295003
2018-07-15,44,22,505,3395,14.874815905743741,2.6996695752706548,6.22455842927536,8.130059039992796,76.56227831379778
2018-07-22,74,47,552,3469,15.912366676275584,2.767096585295437,6.313548046277095,8.15162164696975,77.4514362872088
2018-07-29,240,29,581,3709,15.664599622539768,2.751403365350412,6.364750756851911,8.21851757748959,77.44402438567361
2018-08-05,274,30,611,3983,15.34019583228722,2.7304765619780422,6.415096959171596,8.289790583181643,77.38551287636345
2018-08-12,54,33,644,4037,15.952439930641566,2.769611791239504,6.467698726104354,8.30325712085294,77.89351373765442
